index	question	sentence	label
10571	how are the two related?	they ' re brothers	not_entailment
10572	what have trump's scandals become?	nearly " Watergate size	entailment
10573	what have trump's scandals become?	watergate - size	not_entailment
10574	which forces must end attacks?	Russian and Syrian forces	not_entailment
10575	which forces must end attacks?	russian and syrian	entailment
10576	what can this country use?	rock n ' roll	entailment
10577	what can this country use?		not_entailment
10578	trump speaks distaste of whom?	Muslims	entailment
10579	trump speaks distaste of whom?	trump	not_entailment
10580	who can help you see the big picture and provide psychological support?	a mentor	entailment
10581	who can help you see the big picture and provide psychological support?	# cnnafrica	not_entailment
10582	why does john sutter love california	commutes by boat  It's 10 min faster  Watch for " bassholes	not_entailment
10583	why does john sutter love california	bartender commutes by boat	entailment
10584	what gave petkovic confidence?	I stepped up my game when I needed to	not_entailment
10585	what gave petkovic confidence?	stepped up her game when she needed to	entailment
10586	what do activists suggest?	other side just shut the crossing	entailment
10587	what do activists suggest?		not_entailment
10588	what could pageantsnews not believe?	what happened in my city	entailment
10589	what could pageantsnews not believe?	# je suis charlie	not_entailment
10590	who should receive peace and love?	his family	entailment
10591	who should receive peace and love?	barbari	not_entailment
10592	what type of media deal did #wta and perform announce?	10 yr $ 525 Million	entailment
10593	what type of media deal did #wta and perform announce?	10r $ 525 million	not_entailment
10594	which episode of empire did ron jeremy watch?	FOX finale	entailment
10595	which episode of empire did ron jeremy watch?	congratulating	not_entailment
10596	what does she not like looking at?	Chihira Aico	not_entailment
10597	what does she not like looking at?	chihiraaico	entailment
10598	what course was he playing on?	the Legends course	entailment
10599	what course was he playing on?	don ' t ask what i made	not_entailment
10600	what group of women often were not inclusive?	women's " groups	not_entailment
10601	what group of women often were not inclusive?	women	entailment
10602	how many films is #nmainyc showing aug 2 @2pm?	Aug. 2	entailment
10603	how many films is #nmainyc showing aug 2 @2pm?		not_entailment
10604	where did wilmariel & jason talking about their loved ones?	Orlando's # Pulse Nightclub	entailment
10605	where did wilmariel & jason talking about their loved ones?	orlando ' s pulse club	not_entailment
10606	what is the modern feature of europe that malaysia esteems?	unity	entailment
10607	what is the modern feature of europe that malaysia esteems?	malaysia	not_entailment
10608	what is inspiring new memes	ladygaga's # Oscars look	not_entailment
10609	what is inspiring new memes	lady gaga ' s look	entailment
10610	who is shaking hands on the fields?	The Royals	entailment
10611	who is shaking hands on the fields?	rustin dodd	not_entailment
10612	when did people leave the awards show	during Jay Z and Beyonce clip	entailment
10613	when did people leave the awards show	droves	not_entailment
10614	what connection does murdoch have to the people who committed crimes?	RELIGION	entailment
10615	what connection does murdoch have to the people who committed crimes?	rupert murdoch	not_entailment
10616	what did the kid do	ran	entailment
10617	what did the kid do	neymar	not_entailment
10618	what did bieksa lose in a fight with fisher?	the tooth	entailment
10619	what did bieksa lose in a fight with fisher?	the original was lost	not_entailment
10620	what does bkitaliano say is bad?	something about a woman in Private	entailment
10621	what does bkitaliano say is bad?	homophobic comments	not_entailment
10622	besides confirm, what else can't lauren do?	deny	entailment
10623	besides confirm, what else can't lauren do?		not_entailment
10624	who are we becoming?	South Africa	entailment
10625	who are we becoming?	bill o ' reilly	not_entailment
10626	what store is this?	macys	entailment
10627	what store is this?	macy ' s	not_entailment
10628	what made her so sad?	Ruby Dee's passing	entailment
10629	what made her so sad?	ruby dee ' s passing	not_entailment
10630	is true detective a tv show or a movie.	show	not_entailment
10631	is true detective a tv show or a movie.	true detective	entailment
10632	what was outlined by neitzens?	iconic buildings	entailment
10633	what was outlined by neitzens?	neitzens	not_entailment
10634	what did he not do?	left	not_entailment
10635	what did he not do?	i didn ' t leave	entailment
10636	what spanish phrase does mariano rolando tweet?	El fantasma del 50	entailment
10637	what spanish phrase does mariano rolando tweet?	un spot publicitario	not_entailment
10638	is day 2's training a fast day ?	Non fasting training Day 2	entailment
10639	is day 2's training a fast day ?	ambreen sadiq	not_entailment
10640	when is an obit meant to be published?	when the person in question is dead	entailment
10641	when is an obit meant to be published?	i ' m not sure	not_entailment
10642	how does bialik describe her nose?	a big	entailment
10643	how does bialik describe her nose?	jessica valenti	not_entailment
10644	what state was told to change a dip?	Texas	entailment
10645	what state was told to change a dip?	nytimes	not_entailment
10646	what is mcgowan asking for?	Support vocally or	entailment
10647	what is mcgowan asking for?	support vocally	not_entailment
10648	how long ago did this event take place?	43 years	entailment
10649	how long ago did this event take place?	what sort of justice	not_entailment
10650	who is on the flight?	a friend	entailment
10651	who is on the flight?	egyptair flight ms804	not_entailment
10652	what might beyonce and jay-z do?	follow thru with the divorce	entailment
10653	what might beyonce and jay-z do?	i can ' t say no	not_entailment
10654	how did the drone end up on the grounds?	crashed	entailment
10655	how did the drone end up on the grounds?	here ' s the quadcopter	not_entailment
10656	what does mr. carter want the chance to do?	grow and get better	entailment
10657	what does mr. carter want the chance to do?	i want the chance to grow and get better	not_entailment
10658	what cause are these people gathered for?	Black Lives Matter	entailment
10659	what cause are these people gathered for?	# ucsf / blacklives	not_entailment
10660	who does isabel want to hang with?	the pope	entailment
10661	who does isabel want to hang with?	i ' m mormon	not_entailment
10662	what group made rolling stone's album of the year?	U 2	not_entailment
10663	what group made rolling stone's album of the year?	u2	entailment
10664	who lies to make it look like donald j. trump is against "intelligence"?	The media	entailment
10665	who lies to make it look like donald j. trump is against "intelligence"?	donald trump	not_entailment
10666	how is wellesley's statue described?	creepy ' naked guy	entailment
10667	how is wellesley's statue described?	selfies	not_entailment
10668	when does paul george plant to leave the franchise?	2018	entailment
10669	when does paul george plant to leave the franchise?	pacers	not_entailment
10670	what does evan mcmullin say about gop leaders wanting to replace the nominee with pence?	it isn't actually feasible	entailment
10671	what does evan mcmullin say about gop leaders wanting to replace the nominee with pence?	it isn ' t feasble	not_entailment
10672	what does ripjordan know?	in a better place	not_entailment
10673	what does ripjordan know?	i know you are in a better place	entailment
10674	who stood up to blatter on the issues that matter?	a credible former player	entailment
10675	who stood up to blatter on the issues that matter?	paddy power	not_entailment
